1|Animations|4,51|0
52|Poses|29|1
2|Armour|5,54|0
53|Power Armor|53|2
3|Audio|33,35,106|0
38|Music|34,61|0
39|Voice|36,107|0
5|Clothing|9,60|0
41|Jewelry|102|5
42|Backpacks|49|5
6|Collectables|10,92|0
28|Companions|11,66,96|0
7|Creatures, Mounts, & Vehicles|12,65,83,101|0
8|Factions|16,25|0
9|Gameplay|15,24|0
27|Combat|77|9
43|Crafting|50,100|9
48|Overhauls|24,79|9
49|Perks|27|9
54|Radio|31|9
55|Shouts|104|9
22|Skills & Levelling|46,73|9
58|Weather & Lighting|56|9
44|Equipment|44|43
45|Home/Settlement|45|43
10|Body, Face, & Hair|17,26|0
39|Tattoos|57|10
40|Character Presets|58|0
11|Items|27,85|0
32|Mercantile|23,69|0
37|Ammo|3|11
19|Weapons|41,55|11
36|Weapon & Armour Sets|42|11
23|Player Homes|28,67|0
25|Castles & Mansions|68|23
51|Settlements|48|23
12|Locations|20,21,22,30,47,70,88,89,90,91|0
4|Cities|53|12
31|Landscape Changes|58|0
29|Environment|14,74|0
30|Immersion|51,78|0
20|Magic|75,93,94|0
21|Models & Textures|19,29|0
33|Modders resources|18,82|0
13|NPCs|22,33,99|0
24|Bugfixes|6,95|0
14|Patches|25,84|24
35|Utilities|38,39|0
26|Cheats|8|0
15|Quests|30,35|0
16|Races & Classes|34|0
34|Stealth|76|0
17|UI|37,42|0
18|Visuals|40,62|0
50|Pip-Boy|52|18
46|Shader Presets|13,97,105|0
47|Miscellaneous|2,28|0
